
 num     #instances         #bytes  class name
 368:           390          40560  io.netty.handler.codec.http2.Http2CodecUtil$SimpleChannelPromiseAggregator
 369:           111          39112  [[C
 370:           453          37960  [[B
 371:           390          37440  java.util.stream.ReferencePipeline$7
 372:           914          36560  sun.security.util.DerInputBuffer
 373:           914          36560  sun.security.util.DerValue
 374:           413          36344  org.apache.ratis.thirdparty.io.netty.buffer.PoolThreadCache
 375:          1125          36000  java.lang.ThreadLocal$ThreadLocalMap
 376:           900          36000  sun.security.x509.RDN
 377:           641          35896  java.lang.invoke.LambdaForm$Name
 378:           558          35712  java.security.ProtectionDomain
 379:          1110          35520  org.apache.hadoop.metrics2.lib.MetricsInfoImpl
 380:           726          34848  java.math.BigInteger
 381:          1080          34560  com.google.common.base.Joiner$2
